GCA_access	G4_in_CDS	cds_Mb
GCA_000430865.1	0.0	0.0
GCA_000373145.1	0.0	0.0
GCA_000744175.1	0.0	0.0
GCA_001413985.1	0.319587628866	1.569187
GCA_000401495.1	0.0	0.0
GCA_000373205.1	0.0	0.0
GCA_000519345.1	0.0	0.0
GCA_000421625.1	0.0	0.0
GCA_000008125.1	0.971207865169	2.017464
GCA_000020685.1	0.887543252595	3.257874
GCA_000800395.1	0.715226337449	2.7009
GCA_000836395.1	0.922283134473	2.58997
GCA_001535545.1	0.964964370546	1.901739
GCA_001294665.1	0.753176421579	1.826589
GCA_000348665.1	0.0	0.0
GCA_000744155.1	0.0	0.0
GCA_000620065.1	0.0	0.0
GCA_000236585.1	0.975146650201	2.137656
GCA_001007995.1	0.777037261436	2.70876
GCA_000187005.1	0.966644576983	2.215761
GCA_000376265.1	0.0	0.0
GCA_001424185.1	0.814345991561	3.80731
GCA_000381345.1	0.0	0.0
GCA_900102145.1	0.966913946588	2.293715
GCA_000744885.1	0.0	0.0
GCA_000252445.1	0.76499875529	3.721806
GCA_000494685.1	0.0	0.0
GCA_001880325.1	0.905935439084	2.121522
GCA_000687895.1	0.0	0.0
GCA_001399775.1	0.962081278694	2.178999
GCA_000794385.1	0.836037574722	1.992756
GCA_000745065.1	0.0	0.0
GCA_002239005.1	0.0	0.0
GCA_001280255.1	0.932037134349	2.021376
GCA_001311545.1	0.0	0.0
GCA_000317835.1	0.856614246068	3.812991
GCA_000423905.1	0.0	0.0
GCA_001485435.1	0.84687726067	3.646644
GCA_000745915.1	0.0	0.0
GCA_001623175.1	0.949130714746	2.672103
GCA_000092425.1	0.887866589994	2.853462
GCA_001311585.1	0.0	0.0
GCA_002198095.1	0.815171179235	3.884356
GCA_000771745.2	0.885884941842	2.050481
GCA_000482805.1	0.0	0.0
GCA_000024425.1	0.95004803074	2.799822
GCA_000183745.1	0.887577639752	2.258973
GCA_000701405.1	0.0	0.0
GCA_000478785.1	0.0	0.0
GCA_000430045.1	0.0	0.0
GCA_000173055.1	0.954344874406	2.175365
GCA_001507665.1	0.797181372549	2.790657
GCA_000195335.1	0.90989541432	2.08446
GCA_000745175.1	0.0	0.0
GCA_900109185.1	0.861289106672	3.152701
GCA_000309885.1	0.965044742729	2.248911
GCA_000423425.1	0.0	0.0
GCA_000376665.1	0.955185659411	2.80002
GCA_000511705.1	0.942415126773	2.114437
GCA_000419625.1	0.0	0.0
GCA_001949125.1	0.839603960396	4.393719
GCA_000378445.1	0.0	0.0
GCA_000599865.1	0.818532818533	3.222273
GCA_000196275.1	0.911140583554	2.915484
GCA_000092125.1	0.92439165701	3.271536
GCA_000008565.1	0.880696364567	2.87976
GCA_900176165.1	0.77758203039	5.064338
GCA_000482765.1	0.0	0.0
GCA_002017875.1	0.802823529412	3.735274
GCA_000346125.2	0.960563380282	2.762577
GCA_000186385.1	0.852636127917	3.107964
GCA_000701425.1	0.0	0.0
GCA_000381045.1	0.0	0.0
GCA_001638825.1	0.846542150429	2.93461
GCA_000708185.1	0.868383742911	2.465522
GCA_000091545.1	0.97061395837	2.009253
GCA_000252835.2	0.834656609766	1.655858
GCA_000258245.1	0.960204755614	2.169846
GCA_000214845.1	0.934512672223	2.119491
GCA_001644565.1	0.718557190318	2.420448
GCA_000785645.1	0.0	0.0
GCA_000685985.1	0.0	0.0
GCA_000190555.1	0.854180168503	2.510586
