GCA_access	0	20	50	200	Name	genus	genome_size_mb	Genes	GC	G4_density	spare_percentage	all_G4	N_G4_cross_TSS	G4_in_CDS	cds_Mb	cds_fraction
GCA_000008125.1	0.0175561797753	0.0507373595506	0.110779494382	0.378511235955	Thermus thermophilus HB27	Thermus	2.12748	2276	69.3781	2677.345968	43.1004213483	5696	100.0	0.971207865169	2.017464	0.948288115517
GCA_000008565.1	0.0552995391705	0.141321044547	0.223246287762	0.485407066052	Deinococcus radiodurans R1	Deinococcus	3.28416	3238	66.6067	594.672610348	32.5652841782	1953	108.0	0.880696364567	2.87976	0.876863490208
GCA_000020685.1	0.0346020761246	0.134948096886	0.194636678201	0.405709342561	Deinococcus deserti VCD115	Deinococcus	3.85533	3609	62.9751	299.84463068	26.0380622837	1156	40.0	0.887543252595	3.257874	0.845031164647
GCA_000024425.1	0.0131284021774	0.0435478706372	0.0963816842779	0.341018251681	Meiothermus ruber DSM 1279	Meiothermus	3.09746	3098	63.4	1008.24546564	35.3826448927	3123	41.0	0.95004803074	2.799822	0.903909009317
GCA_000091545.1	0.0181913591044	0.0549239111422	0.117194332692	0.379744621305	Thermus thermophilus HB8	Thermus	2.11606	2245	69.4857	2701.71923291	43.0995277243	5717	104.0	0.97061395837	2.009253	0.949525533302
GCA_000092125.1	0.0153534183082	0.0486674391657	0.106025492468	0.353128621089	Meiothermus silvanus DSM 9946	Meiothermus	3.72167	3689	62.7494	927.540593336	34.2120509849	3452	52.9999999999	0.92439165701	3.271536	0.879050533766
GCA_000092425.1	0.0511788384129	0.142610695802	0.210465784934	0.438757906843	Truepera radiovictrix DSM 17093	Truepera	3.2604	3006	68.1	533.370138633	30.7073030477	1739	89.0	0.887866589994	2.853462	0.87518770703
GCA_000173055.1	0.0188391038697	0.056177868296	0.116429056348	0.386456211813	Thermus aquaticus Y51MC23	Thermus	2.33819	2542	68.0	2519.89786972	41.3951120163	5892	111.0	0.954344874406	2.175365	0.930362801996
GCA_000183745.1	0.0204968944099	0.0701863354037	0.13850931677	0.381366459627	Oceanithermus profundus DSM 14977	Oceanithermus	2.43929	2427	69.7891	660.028122937	30.4347826087	1610	32.9999999999	0.887577639752	2.258973	0.926078080097
GCA_000186385.1	0.0613656006914	0.175453759723	0.261019878997	0.515989628349	Deinococcus maricopensis DSM 21211	Deinococcus	3.49853	3333	69.8	661.420653817	39.9308556612	2314	142.0	0.852636127917	3.107964	0.888362826673
GCA_000187005.1	0.0201016125469	0.0565495913408	0.114866357411	0.37221117738	Thermus scotoductus SA-01	Thermus	2.35519	2499	64.9036	1922.13791669	38.2151535233	4527	90.9999999998	0.966644576983	2.215761	0.940799256111
GCA_000190555.1	0.052495139339	0.157485418017	0.243681140635	0.49060272197	Deinococcus proteolyticus MRP	Deinococcus	2.88684	2767	65.6669	534.494464536	34.9319507453	1543	81.0000000001	0.854180168503	2.510586	0.86966579374
GCA_000195335.1	0.0172968624296	0.0699919549477	0.135559131134	0.392196299276	Marinithermus hydrothermalis DSM 14884	Marinithermus	2.26917	2281	68.1	1095.55476231	39.4609814964	2486	43.0	0.90989541432	2.08446	0.918600193022
GCA_000196275.1	0.0486295313882	0.125110521662	0.188328912467	0.440760389036	Deinococcus geothermalis DSM 11300	Deinococcus	3.24702	3141	66.4409	696.638764159	32.625994695	2262	110.0	0.911140583554	2.915484	0.897895300922
GCA_000214845.1	0.0161592107501	0.0484776322504	0.110222827011	0.377615240687	Thermus thermophilus SG0.5JP17-16	Thermus	2.30323	2491	68.6134	2552.50235539	42.6773260759	5879	94.9999999998	0.934512672223	2.119491	0.920225509393
GCA_000236585.1	0.0213028712566	0.0583513430071	0.117320160543	0.360913862303	Thermus sp. CCB_US3_UF1	Thermus	2.26349	2314	68.5739	2861.95211819	43.6400123495	6478	138.0	0.975146650201	2.137656	0.944407088169
GCA_000252445.1	0.0418222554145	0.132437142146	0.21931789893	0.503360716953	Deinococcus gobiensis I-0	Deinococcus	4.40604	4320	69.1514	911.703025846	38.212596465	4017	168.0	0.76499875529	3.721806	0.844705449792
GCA_000252835.2	0.0184597062326	0.0518062723303	0.104208019055	0.366613735609	Thermus parvatiensis	Thermus	2.0366	2270	68.6	2473.73072768	42.4374751886	5038	92.9999999998	0.834656609766	1.655858	0.813050181675
GCA_000258245.1	0.0148612945839	0.0493725231176	0.109808454425	0.374669749009	Thermus thermophilus JL-18	Thermus	2.31121	2521	68.9816	2620.27249796	42.8170409511	6056	90.0000000001	0.960204755614	2.169846	0.93883550175
GCA_000309885.1	0.0198545861298	0.0534116331096	0.113255033557	0.376258389262	Thermus oshimai JL-2	Thermus	2.40133	2560	68.5952	2978.34949799	43.8338926174	7152	142.0	0.965044742729	2.248911	0.936527257811
GCA_000317835.1	0.0222016651249	0.0962072155412	0.160037002775	0.423681776133	Deinococcus peraridilitoris DSM 19664	Deinococcus	4.51371	4379	63.71	239.492568198	24.3293246994	1081	24.0	0.856614246068	3.812991	0.844757638395
GCA_000346125.2	0.014710485133	0.0510172143975	0.107042253521	0.358685446009	Meiothermus ruber H328	Meiothermus	3.02929	3017	63.5	1054.70258707	36.9327073552	3195	46.9999999999	0.960563380282	2.762577	0.911955276649
GCA_000376665.1	0.0140845070423	0.0451344430218	0.095390524968	0.343790012804	Meiothermus ruber DSM 1279	Meiothermus	3.09888	3099	63.4	1008.10615448	35.4033290653	3124	44.0000000001	0.955185659411	2.80002	0.903558705081
GCA_000511705.1	0.0186935969059	0.0539321014181	0.113235926085	0.373012462398	Thermus sp. NMX2.A1	Thermus	2.29271	2482	65.3	2029.91219997	38.5045122475	4654	87.0000000001	0.942415126773	2.114437	0.922243545847
GCA_000599865.1	0.0552606177606	0.162644787645	0.231418918919	0.469835907336	Deinococcus phoenicis	Deinococcus	3.80714	3724	69.0	1088.48111706	37.2586872587	4144	229.0	0.818532818533	3.222273	0.846376282459
GCA_000708185.1	0.0637996219282	0.151701323251	0.223534971645	0.443525519849	Deinococcus sp. RL	Deinococcus	2.79207	2736	69.4	1515.72131071	40.7608695652	4232	270.0	0.868383742911	2.465522	0.883044479544
GCA_000771745.2	0.0133605784345	0.0407104684062	0.09100911663	0.333385727759	Thermus filiformis	Thermus	2.38608	2402	69.0	2666.29786093	42.2823011632	6362	85.0000000003	0.885884941842	2.050481	0.859351320995
GCA_000794385.1	0.0172502134927	0.0497011101623	0.105721605465	0.349957301452	Thermus sp. 2.9	Thermus	2.40418	2623	67.3	2435.34177973	41.2638770282	5855	101.0	0.836037574722	1.992756	0.828871382342
GCA_000800395.1	0.0609053497942	0.157201646091	0.230041152263	0.458024691358	Deinococcus swuensis	Deinococcus	3.53144	3335	67.4	688.104569241	34.8559670782	2430	148.0	0.715226337449	2.7009	0.764815486034
GCA_000836395.1	0.0148339245405	0.0448242502419	0.0893260238633	0.325056433409	Meiothermus ruber	Meiothermus	2.9681	2959	63.5	1044.7761194	35.0209609803	3101	46.0000000001	0.922283134473	2.58997	0.87260200128
GCA_001007995.1	0.0493789760679	0.165404422902	0.248106634353	0.48258103605	Deinococcus soli Cha et al. 2016	Deinococcus	3.23698	3146	70.2	1019.77769402	40.0484701606	3301	163.0	0.777037261436	2.70876	0.836817033161
GCA_001280255.1	0.0187423366614	0.0516727973375	0.111403047819	0.373795761079	Thermus aquaticus	Thermus	2.24879	2422	67.8	2538.69858902	41.3907864775	5709	107.0	0.932037134349	2.021376	0.898872727111
GCA_001294665.1	0.0147885857113	0.0420745677984	0.0910227036034	0.300978962716	Thermus scotoductus	Thermus	2.37964	2542	65.2	2017.53206367	40.220787336	4801	71.0	0.753176421579	1.826589	0.76759047587
GCA_001399775.1	0.0185342628805	0.0544125148784	0.113586124809	0.380887604149	Thermus aquaticus Y51MC23	Thermus	2.33864	2529	68.0413	2514.70940376	41.3535113076	5881	109.0	0.962081278694	2.178999	0.931737676598
GCA_001413985.1	0.0294550810015	0.0863033873343	0.140500736377	0.318998527246	Deinococcus sp. UR1	Deinococcus	3.89481	3856	68.9	871.672815875	39.70544919	3395	100.0	0.319587628866	1.569187	0.402891797032
GCA_001424185.1	0.0539481615431	0.173899939723	0.251356238698	0.499095840868	Deinococcus sp. Leaf326	Deinococcus	4.60208	4525	67.4	720.978340229	33.6045810729	3318	179.0	0.814345991561	3.80731	0.827302002573
GCA_001485435.1	0.0626959247649	0.177477694719	0.259946949602	0.51169520135	Deinococcus grandis	Deinococcus	4.0925	3946	69.9	1013.31704337	42.175066313	4147	260.0	0.84687726067	3.646644	0.891055345144
GCA_001507665.1	0.0530024509804	0.179534313725	0.261948529412	0.519301470588	Deinococcus actinosclerus	Deinococcus	3.26433	3216	70.6	999.89890728	39.3382352941	3264	173.0	0.797181372549	2.790657	0.854894266205
GCA_001535545.1	0.0178147268409	0.0518606492478	0.109857482185	0.375692794933	Thermus parvatiensis	Thermus	2.0161	2222	68.4929	2505.82808392	42.3000791766	5052	90.0000000002	0.964964370546	1.901739	0.943276127176
GCA_001623175.1	0.0135222150676	0.047005795235	0.0949774629749	0.340952994205	Meiothermus taiwanensis	Meiothermus	2.98802	2983	63.4	1039.4843408	34.6104314231	3106	42.0	0.949130714746	2.672103	0.894272126693
GCA_001638825.1	0.0671378091873	0.176173649672	0.2523977789	0.487632508834	Deinococcus radiodurans R1	Deinococcus	3.34477	3334	66.6184	592.267928737	32.559313478	1981	133.0	0.846542150429	2.93461	0.877372734149
GCA_001644565.1	0.0678690080683	0.162316089226	0.239677266255	0.477456098719	Deinococcus puniceus	Deinococcus	2.97198	2771	62.6	708.954972779	37.6839107736	2107	143.0	0.718557190318	2.420448	0.814422708094
GCA_001880325.1	0.0194376952447	0.0557098229781	0.110378340854	0.368969107949	Thermus brockianus	Thermus	2.38827	2520	66.9263	2412.62503821	41.738979521	5762	112.0	0.905935439084	2.121522	0.888309110779
GCA_001949125.1	0.0643564356436	0.17095709571	0.249834983498	0.49504950495	Deinococcus marmoris	Deinococcus	5.28683	5214	64.1	573.122267975	33.8613861386	3030	195.0	0.839603960396	4.393719	0.831068712253
GCA_002017875.1	0.06	0.172705882353	0.254588235294	0.490117647059	Deinococcus sp. LM3	Deinococcus	4.36801	4002	69.1	972.98312046	41.5764705882	4250	255.0	0.802823529412	3.735274	0.855143188775
GCA_002198095.1	0.0599686730812	0.172745580667	0.266278809577	0.508391138957	Deinococcus indicus	Deinococcus	4.46763	4221	69.8	1000.30665028	41.5081673753	4469	268.0	0.815171179235	3.884356	0.869444425792
GCA_900102145.1	0.0176557863501	0.0587537091988	0.114985163205	0.378189910979	Thermus arciformis	Thermus	2.4423	2672	68.7	2759.69373132	43.1305637982	6740	119.0	0.966913946588	2.293715	0.939161855628
GCA_900109185.1	0.0588013569544	0.175273275537	0.258198266114	0.484734263098	Deinococcus reticulitermitis	Deinococcus	3.50113	3377		757.755353272	35.4692800603	2653	156.0	0.861289106672	3.152701	0.900480987567
GCA_900176165.1	0.0541730896278	0.154151068047	0.235410702488	0.465756441312	Deinococcus hopiensis KR-140	Deinococcus	6.65087	6241	64.9	682.767818346	33.6709975776	4541	246.0	0.77758203039	5.064338	0.761454967546
