"GCA_access"	"all_G4"	"spare_G4"	"Name"	"genus"	"species"	"n1"	"n2"	"genome_size_mb"	"GC"	"Genes"	"Proteins"	"G4_density"	"spare_percentage"	"protein_density"
"GCA_000008125.1"	5696	2455	"Thermus thermophilus HB27"	"Thermus"	"thermophilus"	"HB27"	NA	2.12748	69.3781	"2276"	2126	2677.3459679997	43.1004213483146	999.304341286405
"GCA_000008565.1"	1953	636	"Deinococcus radiodurans R1"	"Deinococcus"	"radiodurans"	"R1"	NA	3.28416	66.6067	"3238"	3167	594.672610347852	32.5652841781874	964.325733216408
"GCA_000020685.1"	1156	301	"Deinococcus deserti VCD115"	"Deinococcus"	"deserti"	"VCD115"	NA	3.85533	62.9751	"3609"	3503	299.844630680123	26.038062283737	908.612232934664
"GCA_000024425.1"	3123	1105	"Meiothermus ruber DSM 1279"	"Meiothermus"	"ruber"	"DSM"	"1279"	3.09746	63.4	"3098"	3023	1008.24546563959	35.3826448927313	975.960948648247
"GCA_000091545.1"	5717	2464	"Thermus thermophilus HB8"	"Thermus"	"thermophilus"	"HB8"	NA	2.11606	69.4857	"2245"	2173	2701.719232914	43.0995277243309	1026.90849975899
"GCA_000092125.1"	3452	1181	"Meiothermus silvanus DSM 9946"	"Meiothermus"	"silvanus"	"DSM"	"9946"	3.72167	62.7494	"3689"	3476	927.540593335787	34.2120509849363	933.989311250057
"GCA_000092425.1"	1739	534	"Truepera radiovictrix DSM 17093"	"Truepera"	"radiovictrix"	"DSM"	"17093"	3.2604	68.1	"3006"	2916	533.370138633297	30.7073030477286	894.368789105631
"GCA_000173055.1"	5892	2439	"Thermus aquaticus Y51MC23"	"Thermus"	"aquaticus"	"Y51MC23"	NA	2.33819	68	"2542"	2325	2519.89786971974	41.3951120162933	994.358884436252
"GCA_000183745.1"	1610	490	"Oceanithermus profundus DSM 14977"	"Oceanithermus"	"profundus"	"DSM"	"14977"	2.43929	69.7891	"2427"	2360	660.028122937412	30.4347826086957	967.494639833722
"GCA_000186385.1"	2314	924	"Deinococcus maricopensis DSM 21211"	"Deinococcus"	"maricopensis"	"DSM"	"21211"	3.49853	69.8	"3333"	3242	661.42065381746	39.9308556611927	926.67491775117
"GCA_000187005.1"	4527	1730	"Thermus scotoductus SA-01"	"Thermus"	"scotoductus"	"SA-01"	NA	2.35519	64.9036	"2499"	2396	1922.13791668613	38.2151535233046	1017.32768906118
"GCA_000190555.1"	1543	539	"Deinococcus proteolyticus MRP"	"Deinococcus"	"proteolyticus"	"MRP"	NA	2.88684	65.6669	"2767"	2645	534.494464535617	34.9319507453014	916.226739272007
"GCA_000195335.1"	2486	981	"Marinithermus hydrothermalis DSM 14884"	"Marinithermus"	"hydrothermalis"	"DSM"	"14884"	2.26917	68.1	"2281"	2174	1095.55476231397	39.4609814963797	958.059554815197
"GCA_000196275.1"	2262	738	"Deinococcus geothermalis DSM 11300"	"Deinococcus"	"geothermalis"	"DSM"	"11300"	3.24702	66.4409	"3141"	3003	696.638764159137	32.6259946949602	924.84801448713
"GCA_000214845.1"	5879	2509	"Thermus thermophilus SG0.5JP17-16"	"Thermus"	"thermophilus"	"SG0.5JP17-16"	NA	2.30323	68.6134	"2491"	2325	2552.50235538787	42.6773260758632	1009.45194357489
"GCA_000236585.1"	6478	2827	"Thermus sp. CCB_US3_UF1"	"Thermus"	"sp."	"CCB_US3_UF1"	NA	2.26349	68.5739	"2314"	2220	2861.95211818917	43.6400123494906	980.786307869706
"GCA_000252445.1"	4017	1535	"Deinococcus gobiensis I-0"	"Deinococcus"	"gobiensis"	"I-0"	NA	4.40604	69.1514	"4320"	4140	911.703025846338	38.2125964650237	939.61924993872
"GCA_000252835.2"	5038	2138	"Thermus parvatiensis"	"Thermus"	"parvatiensis"	NA	NA	2.0366	68.6	"2270"	1801	2473.73072768339	42.4374751885669	884.316998919768
"GCA_000258245.1"	6056	2593	"Thermus thermophilus JL-18"	"Thermus"	"thermophilus"	"JL-18"	NA	2.31121	68.9816	"2521"	2379	2620.27249795562	42.8170409511229	1029.33095651196
"GCA_000309885.1"	7152	3135	"Thermus oshimai JL-2"	"Thermus"	"oshimai"	"JL-2"	NA	2.40133	68.5952	"2560"	2454	2978.34949798653	43.8338926174497	1021.93367841988
"GCA_000317835.1"	1081	263	"Deinococcus peraridilitoris DSM 19664"	"Deinococcus"	"peraridilitoris"	"DSM"	"19664"	4.51371	63.71	"4379"	4223	239.49256819778	24.3293246993525	935.594001386886
